timestamp,power in Watt
2025-05-26 14:15,375
2025-05-26 14:30,326
2025-05-26 14:45,285
2025-05-26 15:00,272
2025-05-26 15:15,220
2025-05-26 15:30,208
2025-05-26 15:45,213
2025-05-26 16:00,125
2025-05-26 16:15,114
2025-05-26 16:30,134
2025-05-26 16:45,136
2025-05-26 17:00,76
2025-05-26 17:15,77
2025-05-26 17:30,96
2025-05-26 17:45,71
2025-05-26 18:00,42
2025-05-26 18:15,41
2025-05-26 18:30,46
2025-05-26 18:45,77
2025-05-26 19:00,63
2025-05-26 19:15,31
2025-05-26 19:30,24
2025-05-26 19:45,11
2025-05-26 20:00,8
2025-05-26 20:15,6
2025-05-26 20:30,4
2025-05-26 21:30,0
2025-05-26 22:30,0
2025-05-26 23:30,0
2025-05-27 00:00,0
2025-05-27 01:00,0
2025-05-27 02:00,0
2025-05-27 03:00,0
2025-05-27 04:00,0
2025-05-27 05:00,3
2025-05-27 05:15,9
2025-05-27 05:30,16
2025-05-27 05:45,28
2025-05-27 06:00,33
2025-05-27 06:15,39
2025-05-27 06:30,64
2025-05-27 06:45,124
2025-05-27 07:00,246
2025-05-27 07:15,188
2025-05-27 07:30,85
2025-05-27 07:45,72
2025-05-27 08:00,111
2025-05-27 08:15,158
2025-05-27 08:30,238
2025-05-27 08:45,226
2025-05-27 09:00,162
2025-05-27 09:15,280
2025-05-27 09:30,295
2025-05-27 09:45,431
2025-05-27 10:00,274
2025-05-27 10:15,807
2025-05-27 10:30,708
2025-05-27 10:45,704
2025-05-27 11:00,482
2025-05-27 11:15,618
2025-05-27 11:30,708
2025-05-27 11:45,511
2025-05-27 12:00,691
2025-05-27 12:15,262
2025-05-27 12:30,182
2025-05-27 12:45,226
2025-05-27 13:00,263
2025-05-27 13:15,569
2025-05-27 13:30,542
2025-05-27 13:45,510
2025-05-27 14:00,136
2025-05-27 14:15,58
2025-05-27 14:30,38
2025-05-27 14:45,102
2025-05-27 15:00,138
2025-05-27 15:15,155
2025-05-27 15:30,158
2025-05-27 15:45,116
2025-05-27 16:00,89
2025-05-27 16:15,94
2025-05-27 16:30,88
2025-05-27 16:45,93
2025-05-27 17:00,75
2025-05-27 17:15,77
2025-05-27 17:30,168
2025-05-27 17:45,104
2025-05-27 18:00,40
2025-05-27 18:15,26
